"","date","count"
"1",2012-10-01,158
"2",2012-10-02,71
"3",2012-10-03,77
"4",2012-10-04,147
"5",2012-10-05,1439
"6",2012-10-06,13630
"7",2012-10-07,50
"8",2012-10-08,170
"9",2012-10-09,222
"10",2012-10-10,3945
"11",2012-10-11,388
"12",2012-10-12,209
"13",2012-10-13,151
"14",2012-10-14,99
"15",2012-10-15,90
"16",2012-10-16,132
"17",2012-10-17,12722
"18",2012-10-18,28646
"19",2012-10-19,118
"20",2012-10-20,56
"21",2012-10-21,32
"22",2012-10-22,1336
"23",2012-10-23,4515
"24",2012-10-24,4428
"25",2012-10-25,3359
"26",2012-10-26,233
"27",2012-10-27,65
"28",2012-10-28,306
"29",2012-10-29,2845
"30",2012-10-30,405
"31",2012-10-31,2982
"32",2012-11-01,21124
"33",2012-11-02,8841
"34",2012-11-03,14574
"35",2012-11-04,19502
"36",2012-11-05,19615
"37",2012-11-06,13534
"38",2012-11-07,12400
"39",2012-11-08,14131
"40",2012-11-09,14344
"41",2012-11-10,8032
"42",2012-11-11,11358
"43",2012-11-12,21795
"44",2012-11-13,17819
"45",2012-11-14,23188
"46",2012-11-15,31612
"47",2012-11-16,18794
"48",2012-11-17,7979
"49",2012-11-18,7172
"50",2012-11-19,28233
"51",2012-11-20,21202
"52",2012-11-21,22627
"53",2012-11-22,33231
"54",2012-11-23,16265
"55",2012-11-24,14247
"56",2012-11-25,21960
"57",2012-11-26,23695
"58",2012-11-27,16579
"59",2012-11-28,29422
"60",2012-11-29,35315
"61",2012-11-30,33845
"62",2012-12-01,19206
"63",2012-12-02,18382
"64",2012-12-03,18042
"65",2012-12-04,37709
"66",2012-12-05,18355
"67",2012-12-06,25762
"68",2012-12-07,21100
"69",2012-12-08,25962
"70",2012-12-09,23944
"71",2012-12-10,31243
"72",2012-12-11,28879
"73",2012-12-12,32144
"74",2012-12-13,26324
"75",2012-12-14,40438
"76",2012-12-15,20538
"77",2012-12-16,18819
"78",2012-12-17,25558
"79",2012-12-18,22733
"80",2012-12-19,29182
"81",2012-12-20,27891
"82",2012-12-21,28471
"83",2012-12-22,23122
"84",2012-12-23,20147
"85",2012-12-24,17267
"86",2012-12-25,15883
"87",2012-12-26,80738
"88",2012-12-27,49007
"89",2012-12-28,21959
"90",2013-01-01,21822
"91",2013-01-02,28680
"92",2013-01-03,21168
"93",2013-01-04,20933
"94",2013-01-05,26620
"95",2013-01-06,11302
"96",2013-01-07,26100
"97",2013-01-08,37987
"98",2013-01-09,41202
"99",2013-01-10,37493
"100",2013-01-11,56018
"101",2013-01-12,18487
"102",2013-01-13,25548
"103",2013-01-14,29841
"104",2013-01-15,39669
"105",2013-01-16,40283
"106",2013-01-17,39297
"107",2013-01-18,50024
"108",2013-01-19,21702
"109",2013-01-20,32347
"110",2013-01-21,40379
"111",2013-01-22,55364
"112",2013-01-23,37326
"113",2013-01-24,51633
"114",2013-01-25,59028
"115",2013-01-26,21696
"116",2013-01-27,20334
"117",2013-01-28,43848
"118",2013-01-29,62939
"119",2013-01-30,50600
"120",2013-01-31,52259
"121",2013-02-01,40757
"122",2013-02-02,18651
"123",2013-02-03,36068
"124",2013-02-04,38242
"125",2013-02-05,54441
"126",2013-02-06,42108
"127",2013-02-07,42623
"128",2013-02-08,33210
"129",2013-02-09,27580
"130",2013-02-10,42222
"131",2013-02-11,60975
"132",2013-02-12,47364
"133",2013-02-13,47829
"134",2013-02-14,47609
"135",2013-02-15,50688
"136",2013-02-16,38318
"137",2013-02-17,38327
"138",2013-02-18,55395
"139",2013-02-19,59674
"140",2013-02-20,50160
"141",2013-02-21,52775
"142",2013-02-22,42703
"143",2013-02-23,28694
"144",2013-02-24,32038
"145",2013-02-25,57149
"146",2013-02-26,68174
"147",2013-02-27,44591
"148",2013-02-28,55871
"149",2013-03-01,55247
"150",2013-03-02,31882
"151",2013-03-03,32060
"152",2013-03-04,69753
"153",2013-03-05,51670
"154",2013-03-06,66874
"155",2013-03-07,63690
"156",2013-03-08,56081
"157",2013-03-09,39096
"158",2013-03-10,33769
"159",2013-03-11,80165
"160",2013-03-12,132294
"161",2013-03-13,51218
"162",2013-03-14,47481
"163",2013-03-15,93976
"164",2013-03-16,34875
"165",2013-03-17,40346
"166",2013-03-18,65980
"167",2013-03-19,60212
"168",2013-03-20,61283
"169",2013-03-21,46458
"170",2013-03-22,54619
"171",2013-03-23,30717
"172",2013-03-24,25955
"173",2013-03-25,51727
"174",2013-03-26,40420
"175",2013-03-27,49988
"176",2013-03-28,41224
"177",2013-03-29,30170
"178",2013-03-30,18341
"179",2013-03-31,27875
"180",2013-04-01,33912
"181",2013-04-02,70367
"182",2013-04-03,68601
"183",2013-04-04,107488
"184",2013-04-05,76512
"185",2013-04-06,75277
"186",2013-04-07,63410
"187",2013-04-08,61943
"188",2013-04-09,76079
"189",2013-04-10,66157
"190",2013-04-11,67093
"191",2013-04-12,66381
"192",2013-04-13,31235
"193",2013-04-14,34441
"194",2013-04-15,79757
"195",2013-04-16,59792
"196",2013-04-17,72867
"197",2013-04-18,60359
"198",2013-04-19,71831
"199",2013-04-20,38259
"200",2013-04-21,29697
"201",2013-04-22,58134
"202",2013-04-23,64079
"203",2013-04-24,60123
"204",2013-04-25,86672
"205",2013-04-26,62937
"206",2013-04-27,35326
"207",2013-04-28,51767
"208",2013-04-29,56920
"209",2013-04-30,49175
"210",2013-05-01,41740
"211",2013-05-02,65344
"212",2013-05-03,43663
"213",2013-05-04,34086
"214",2013-05-05,38564
"215",2013-05-06,67462
"216",2013-05-07,53334
"217",2013-05-08,48063
"218",2013-05-09,63085
"219",2013-05-10,41567
"220",2013-05-11,42728
"221",2013-05-12,23895
"222",2013-05-13,59990
"223",2013-05-14,57074
"224",2013-05-15,60020
"225",2013-05-16,63914
"226",2013-05-17,41593
"227",2013-05-18,34832
"228",2013-05-19,41514
"229",2013-05-20,67429
"230",2013-05-21,61257
"231",2013-05-22,79719
"232",2013-05-23,123444
"233",2013-05-24,63196
"234",2013-05-25,34135
"235",2013-05-26,27236
"236",2013-05-27,58994
"237",2013-05-28,95646
"238",2013-05-29,81186
"239",2013-05-30,72370
"240",2013-05-31,61572
"241",2013-06-01,38843
"242",2013-06-02,36291
"243",2013-06-03,71156
"244",2013-06-04,66694
"245",2013-06-05,65954
"246",2013-06-06,68588
"247",2013-06-07,72610
"248",2013-06-08,41280
"249",2013-06-09,43385
"250",2013-06-10,69181
"251",2013-06-11,57112
"252",2013-06-12,70666
"253",2013-06-13,73754
"254",2013-06-14,54065
"255",2013-06-15,37454
"256",2013-06-16,29776
"257",2013-06-17,50187
"258",2013-06-18,93113
"259",2013-06-19,61815
"260",2013-06-20,88107
"261",2013-06-21,59188
"262",2013-06-22,29117
"263",2013-06-23,28110
"264",2013-06-24,64902
"265",2013-06-25,65065
"266",2013-06-26,53973
"267",2013-06-27,61294
"268",2013-06-28,76291
"269",2013-06-29,37197
"270",2013-06-30,31660
"271",2013-07-01,57099
"272",2013-07-02,60535
"273",2013-07-03,66148
"274",2013-07-04,43277
"275",2013-07-05,41860
"276",2013-07-06,29036
"277",2013-07-07,41080
"278",2013-07-08,53579
"279",2013-07-09,78967
"280",2013-07-10,76934
"281",2013-07-11,62105
"282",2013-07-12,67826
"283",2013-07-13,28631
"284",2013-07-14,23583
"285",2013-07-15,67606
"286",2013-07-16,109348
"287",2013-07-17,61722
"288",2013-07-18,56394
"289",2013-07-19,87780
"290",2013-07-20,42759
"291",2013-07-21,25855
"292",2013-07-22,66527
"293",2013-07-23,67731
"294",2013-07-24,84581
"295",2013-07-25,69592
"296",2013-07-26,70672
"297",2013-07-27,61487
"298",2013-07-28,31694
"299",2013-07-29,53057
"300",2013-07-30,57910
"301",2013-07-31,89895
"302",2013-08-01,54473
"303",2013-08-02,71189
"304",2013-08-03,38016
"305",2013-08-04,23390
"306",2013-08-05,46924
"307",2013-08-06,71163
"308",2013-08-07,79412
"309",2013-08-08,117898
"310",2013-08-09,53605
"311",2013-08-10,25010
"312",2013-08-11,30030
"313",2013-08-12,89150
"314",2013-08-13,185622
"315",2013-08-14,71980
"316",2013-08-15,66966
"317",2013-08-16,102876
"318",2013-08-17,33592
"319",2013-08-18,20238
"320",2013-08-19,47887
"321",2013-08-20,65415
"322",2013-08-21,56197
