"","date","os","count"
"1",2015-01-01,"osx",83
"2",2015-01-01,"src",49
"3",2015-01-01,"win",2026
"4",2015-01-02,"osx",148
"5",2015-01-02,"src",72
"6",2015-01-02,"win",2526
"7",2015-01-03,"osx",173
"8",2015-01-03,"src",65
"9",2015-01-03,"win",2184
"10",2015-01-04,"osx",130
"11",2015-01-04,"src",97
"12",2015-01-04,"win",1564
"13",2015-01-05,"osx",316
"14",2015-01-05,"src",128
"15",2015-01-05,"win",1801
"16",2015-01-06,"osx",441
"17",2015-01-06,"src",133
"18",2015-01-06,"win",2052
"19",2015-01-07,"osx",438
"20",2015-01-07,"src",130
"21",2015-01-07,"win",2107
"22",2015-01-08,"osx",485
"23",2015-01-08,"src",136
"24",2015-01-08,"win",1963
"25",2015-01-09,"osx",355
"26",2015-01-09,"src",113
"27",2015-01-09,"win",1580
"28",2015-01-10,"osx",214
"29",2015-01-10,"src",126
"30",2015-01-10,"win",2143
"31",2015-01-11,"osx",236
"32",2015-01-11,"src",134
"33",2015-01-11,"win",1242
"34",2015-01-12,"osx",516
"35",2015-01-12,"src",185
"36",2015-01-12,"win",2158
"37",2015-01-13,"osx",520
"38",2015-01-13,"src",181
"39",2015-01-13,"win",1931
"40",2015-01-14,"osx",538
"41",2015-01-14,"src",162
"42",2015-01-14,"win",2068
"43",2015-01-15,"osx",549
"44",2015-01-15,"src",181
"45",2015-01-15,"win",2027
"46",2015-01-16,"osx",572
"47",2015-01-16,"src",170
"48",2015-01-16,"win",1835
"49",2015-01-17,"osx",212
"50",2015-01-17,"src",138
"51",2015-01-17,"win",1269
"52",2015-01-18,"osx",248
"53",2015-01-18,"src",132
"54",2015-01-18,"win",1205
"55",2015-01-19,"osx",339
"56",2015-01-19,"src",187
"57",2015-01-19,"win",1885
"58",2015-01-20,"osx",602
"59",2015-01-20,"src",148
"60",2015-01-20,"win",2118
"61",2015-01-21,"osx",677
"62",2015-01-21,"src",174
"63",2015-01-21,"win",2357
"64",2015-01-22,"osx",593
"65",2015-01-22,"src",192
"66",2015-01-22,"win",2111
"67",2015-01-23,"osx",377
"68",2015-01-23,"src",156
"69",2015-01-23,"win",2043
"70",2015-01-24,"osx",217
"71",2015-01-24,"src",108
"72",2015-01-24,"win",1685
"73",2015-01-25,"osx",273
"74",2015-01-25,"src",122
"75",2015-01-25,"win",1525
"76",2015-01-26,"osx",481
"77",2015-01-26,"src",152
"78",2015-01-26,"win",2177
"79",2015-01-27,"osx",552
"80",2015-01-27,"src",168
"81",2015-01-27,"win",2157
"82",2015-01-28,"osx",499
"83",2015-01-28,"src",174
"84",2015-01-28,"win",2201
"85",2015-01-29,"osx",483
"86",2015-01-29,"src",168
"87",2015-01-29,"win",2074
"88",2015-01-30,"osx",350
"89",2015-01-30,"src",163
"90",2015-01-30,"win",1902
"91",2015-01-31,"osx",223
"92",2015-01-31,"src",176
"93",2015-01-31,"win",1343
"94",2015-02-01,"osx",210
"95",2015-02-01,"src",107
"96",2015-02-01,"win",1527
"97",2015-02-02,"osx",447
"98",2015-02-02,"src",277
"99",2015-02-02,"win",2182
"100",2015-02-03,"osx",512
"101",2015-02-03,"src",183
"102",2015-02-03,"win",2477
"103",2015-02-04,"osx",508
"104",2015-02-04,"src",177
"105",2015-02-04,"win",2260
"106",2015-02-05,"osx",462
"107",2015-02-05,"src",173
"108",2015-02-05,"win",2479
"109",2015-02-06,"osx",374
