"","pkg","pub_date"
"1","AalenJohansen","2023-03-01"
"2","aamatch","2025-06-24"
"3","AATtools","2020-06-14"
"4","ABACUS","2019-09-20"
"5","abasequence","2023-07-14"
"6","abbreviate","2021-12-14"
"7","abc","2010-10-05"
"8","abc.data","2015-05-05"
"9","ABC.RAP","2016-10-20"
"10","ABCanalysis","2015-04-20"
"11","abclass","2022-03-07"
"12","ABCoptim","2013-11-05"
"13","abcrf","2015-08-18"
"14","abcrlda","2019-11-25"
"15","abctools","2013-02-22"
"16","abd","2011-01-26"
"17","abdiv","2020-01-20"
"18","abe","2017-10-30"
"19","aberrance","2024-02-20"
"20","abess","2021-04-21"
"21","abglasso","2021-05-12"
"22","ABHgenotypeR","2016-01-21"
"23","abima","2024-10-25"
"24","abind","2003-06-11"
"25","abjData","2022-06-15"
"26","abjutils","2017-01-04"
"27","ablasso","2024-05-03"
"28","ABM","2023-03-10"
"29","abms","2025-03-13"
"30","abn","2011-07-26"
"31","abnormality","2018-03-13"
"32","abodOutlier","2015-08-31"
"33","ABPS","2017-12-19"
"34","ABRSQOL","2024-11-06"
"35","abseil","2023-10-01"
"36","absorber","2024-02-23"
"37","abstr","2021-08-19"
"38","abstractr","2019-01-20"
"39","ABSurvTDC","2023-01-12"
"40","abtest","2019-05-03"
"41","abundant","2013-07-03"
"42","Ac3net","2018-02-26"
"43","ACA","2016-03-10"
"44","AcademicThemes","2023-03-27"
"45","academictwitteR","2021-05-11"
"46","acc","2015-05-14"
"47","acca","2022-01-13"
"48","accelerometry","2013-08-04"
"49","accelmissing","2016-03-25"
"50","AccelStab","2023-12-10"
"51","accept","2019-08-08"
"52","AcceptanceSampling","2007-07-07"
"53","AcceptReject","2024-04-11"
"54","accessibility","2022-06-30"
"55","accessr","2024-04-28"
"56","accessrmd","2022-05-03"
"57","accrual","2014-02-24"
"58","accrualPlot","2022-05-09"
"59","AccSamplingDesign","2025-04-30"
"60","accSDA","2017-08-24"
"61","accucor","2021-04-12"
"62","accumulate","2023-01-24"
"63","acdcquery","2023-10-20"
"64","acdcR","2022-06-27"
"65","ACDm","2015-07-16"
"66","ACE.CoCo","2023-07-06"
"67","ace2fastq","2019-06-04"
"68","acebayes","2016-08-04"
"69","aceEditor","2020-10-22"
"70","ACEP","2022-07-18"
"71","acepack","1998-03-25"
"72","ACEsearch","2020-09-28"
"73","ACEsimFit","2022-10-12"
"74","ACEt","2016-02-14"
"75","acfMPeriod","2019-07-23"
"76","Achilles","2023-05-03"
"77","acid","2014-12-05"
"78","acled.api","2020-10-24"
"79","acledR","2025-02-24"
"80","ACNE","2011-09-16"
"81","acnr","2014-11-19"
"82","acopula","2013-07-19"
"83","acoRn","2024-10-02"
"84","acp","2014-07-23"
"85","acro","2023-12-01"
"86","acroname","2021-01-25"
"87","acss","2014-04-06"
"88","acss.data","2014-04-05"
"89","ACSSpack","2024-07-04"
"90","ACSWR","2015-09-05"
"91","act","2020-11-04"
"92","ACTCD","2013-10-22"
"93","ActCR","2020-06-25"
"94","actel","2020-06-13"
"95","ActFrag","2019-06-28"
"96","actfts","2025-03-06"
"97","actilifecounts","2022-05-30"
"98","ActiSleep","2022-11-21"
"99","activAnalyzer","2022-07-20"
"100","activatr","2021-01-15"
"101","ActiveDriver","2017-08-23"
"102","activegp","2020-04-06"
"103","ActivePathways","2019-05-04"
"104","activity","2014-09-29"
"105","activityCounts","2019-07-31"
"106","ActivityIndex","2018-12-31"
"107","activPAL","2019-07-18"
"108","actLifer","2023-11-16"
"109","actogrammr","2017-10-25"
"110","actuar","2006-02-17"
"111","actuaRE","2023-01-25"
"112","ActuarialM","2023-05-15"
"113","actuaryr","2020-03-06"
"114","actxps","2022-08-31"
"115","AcuityView","2017-05-09"
"116","acumos","2020-10-15"
"117","ACV","2022-04-05"
"118","ACWR","2022-03-01"
"119","ada","2006-09-29"
"120","adabag","2006-06-06"
"121","adace","2022-03-22"
"122","adagio","2012-02-17"
"123","adaHuber","2022-03-09"
"124","adamethods","2018-11-14"
"125","adana","2022-02-23"
"126","AdapSamp","2017-09-08"
"127","adapt4pv","2020-06-24"
"128","adaptalint","2018-07-02"
"129","adaptDiag","2021-08-17"
"130","AdaptGauss","2015-10-09"
"131","adaptiveGPCA","2017-08-02"
"132","adaptivetau","2010-10-20"
"133","adaptIVPT","2022-11-02"
"134","adaptMCMC","2012-01-03"
"135","adaptMT","2018-07-31"
"136","adaptr","2022-03-15"
"137","ADAPTS","2019-05-17"
"138","adaptsmoFMRI","2012-11-09"
"139","adaptTest","2009-10-16"
"140","adaR","2023-10-01"
"141","adas.utils","2024-12-18"
"142","AdaSampling","2018-06-04"
"143","adass","2021-11-18"
"144","adbcdrivermanager","2023-06-22"
"145","adbcpostgresql","2023-12-12"
"146","adbcsqlite","2023-08-30"
"147","adbi","2023-12-11"
"148","adc","2023-02-17"
"149","ADCT","2016-11-20"
"150","add2ggplot","2020-02-07"
"151","addhaz","2016-02-14"
"152","addhazard","2015-08-17"
"153","addinsJoaoMelo","2020-06-13"
"154","addinslist","2016-05-04"
"155","addinsOutline","2019-12-02"
"156","additive","2021-06-01"
"157","additivityTests","2014-01-08"
"158","addreg","2014-10-29"
"159","ADDT","2014-09-26"
"160","ade4","2002-12-10"
"161","ade4TkGUI","2006-09-29"
"162","adea","2021-09-07"
"163","adegenet","2007-04-11"
"164","adegraphics","2015-04-14"
"165","adehabitatHR","2011-02-07"
"166","adehabitatHS","2011-02-07"
"167","adehabitatLT","2011-02-07"
"168","adehabitatMA","2011-02-07"
"169","adelie","2024-06-17"
"170","adephylo","2009-11-05"
"171","adepro","2017-07-12"
"172","adept","2019-05-24"
"173","adeptdata","2019-03-30"
"174","AdequacyModel","2012-11-22"
"175","ADER","2022-02-18"
"176","adespatial","2016-05-24"
"177","adestr","2023-09-27"
"178","adfExplorer","2017-10-30"
"179","adformR","2022-11-28"
"180","ADGofTest","2009-07-18"
"181","adheRenceRX","2020-11-20"
"182","AdhereR","2017-04-27"
"183","AdhereRViz","2020-05-16"
"184","adimpro","2006-10-27"
"185","AdIsMF","2024-07-26"
"186","adiv","2017-07-19"
"187","adjclust","2017-10-18"
"188","adjROC","2022-03-21"
"189","adjSURVCI","2021-12-15"
"190","adjustedcranlogs","2017-11-23"
"191","adjustedCurves","2022-09-22"
"192","adklakedata","2018-02-16"
"193","adlift","2005-04-02"
"194","ADLP","2024-04-18"
"195","admiral","2022-02-17"
"196","admiral.test","2022-02-15"
"197","admiraldev","2022-08-26"
"198","admiralmetabolic","2025-01-20"
"199","admiralonco","2022-09-13"
"200","admiralophtha","2023-03-14"
"201","admiralpeds","2024-08-21"
"202","admiralvaccine","2023-06-27"
"203","admisc","2019-04-26"
"204","AdMit","2008-06-11"
"205","admix","2021-06-14"
"206","admixr","2020-07-03"
"207","ADMM","2017-11-02"
"208","admmDensestSubmatrix","2019-10-31"
"209","admtools","2023-11-29"
"210","adnuts","2018-02-08"
"211","adobeanalyticsr","2021-03-01"
"212","adoptr","2019-04-01"
"213","ADP","2021-07-28"
"214","ADPclust","2015-04-20"
"215","ADPF","2017-09-13"
"216","adplots","2025-01-30"
"217","adproclus","2023-11-07"
"218","adpss","2018-07-18"
"219","ads","2007-03-30"
"220","adsDataHubR","2021-02-08"
"221","AdsorpR","2025-04-09"
"222","adsoRptionCMF","2025-06-05"
"223","adsoRptionCV","2025-06-03"
"224","adsoRptionMCMC","2025-05-30"
"225","ADTSA","2023-11-30"
"226","AdvancedBasketballStats","2021-02-16"
"227","AdvBinomApps","2016-04-07"
"228","AdvDif4","2018-04-25"
"229","adventr","2020-05-05"
"230","adverbial","2025-05-13"
"231","AdverseEvents","2024-11-04"
"232","ADVICE","2021-04-16"
"233","adw","2022-03-01"
"234","adwave","2014-10-10"
"235","adwordsR","2018-06-19"
"236","aebdata","2024-08-19"
"237","aeddo","2023-11-14"
"238","AEDForecasting","2015-12-11"
"239","aedseo","2023-11-07"
"240","AEenrich","2020-07-30"
"241","aelab","2024-07-08"
"242","AEP","2020-08-11"
"243","AER","2008-05-05"
"244","AeRobiology","2018-12-21"
"245","AeroSampleR","2021-12-03"
"246","AF","2015-12-14"
"247","afc","2009-02-18"
"248","afcharts","2024-11-06"
"249","afcolours","2023-09-06"
"250","afdx","2021-05-25"
"251","afex","2012-08-09"
"252","AFFECT","2023-06-01"
"253","affiner","2024-10-14"
"254","affinity","2021-06-02"
"255","affinitymatrix","2020-11-26"
"256","affluenceIndex","2017-03-23"
"257","AFheritability","2019-05-17"
"258","afmToolkit","2017-04-03"
"259","afpt","2017-09-01"
"260","AFR","2022-03-21"
"261","africamonitor","2022-05-25"
"262","aftables","2025-02-19"
"263","aftgee","2012-08-08"
"264","afthd","2021-05-31"
"265","aftR2","2023-08-21"
"266","aftsem","2024-09-15"
"267","afttest","2022-09-05"
"268","ag5Tools","2022-03-24"
"269","agcounts","2024-02-29"
"270","AGD","2012-05-08"
"271","ageg","2022-10-31"
"272","agena.ai","2023-05-17"
"273","AgePopDenom","2025-02-25"
"274","ageutils","2023-01-09"
"275","agfh","2023-06-21"
"276","agghoo","2023-05-25"
"277","aggreCAT","2025-05-28"
"278","AggregateR","2015-10-01"
"279","aggregation","2017-12-03"
"280","aggTrees","2023-02-09"
"281","aggutils","2023-08-22"
"282","AGHmatrix","2018-06-06"
"283","aghq","2021-01-18"
"284","aglm","2021-06-09"
"285","agop","2013-06-27"
"286","agpower","2025-06-06"
"287","AGPRIS","2020-09-23"
"288","agRee","2012-10-12"
"289","AgreementInterval","2018-08-31"
"290","agricolae","2007-01-26"
"291","agricolaeplotr","2021-07-09"
"292","agridat","2011-04-27"
"293","agrifeature","2021-12-09"
"294","agriTutorial","2018-01-09"
"295","agriutilities","2023-02-16"
"296","agriwater","2019-01-30"
"297","agrmt","2013-01-25"
"298","AgroR","2021-11-30"
"299","AgroReg","2021-08-02"
"300","agrostab","2019-10-16"
"301","AgroTech","2022-01-25"
"302","ags","2023-02-21"
"303","agtboost","2020-09-01"
"304","agua","2022-06-02"
"305","agvgd","2022-01-17"
"306","ahaz","2011-05-17"
"307","AHM","2019-07-28"
"308","AHMbook","2017-04-20"
"309","ahMLE","2021-06-24"
"310","ahnr","2017-07-08"
"311","AhoCorasickTrie","2016-07-29"
"312","AHPGaussian","2023-06-14"
"313","AHPhybrid","2021-02-10"
"314","ahpsurvey","2018-09-16"
"315","AHPtools","2023-04-17"
"316","ahptopsis2n","2020-11-19"
"317","AHPWR","2022-12-06"
"318","AHSurv","2022-06-02"
"319","ahw","2022-12-22"
"320","ai","2024-10-02"
"321","aIc","2022-10-04"
"322","AICcmodavg","2009-09-03"
"323","AICcPermanova","2023-04-05"
"324","AID","2012-10-23"
"325","aidar","2013-12-11"
"326","AiES","2025-06-06"
"327","aifeducation","2023-08-15"
"328","AIFFtools","2024-09-05"
